°üÃø¼Ò¸í:ÀÎÃµÇ×,,,,,,,,,,,,,,
À§µµ:37.389444,,,,,,,,,,,,,,
°æµµ:126.533055,,,,,,,,,,,,,,
°üÃø½Ã°£,À¯¼Ó(cm/s),À¯Çâ(16points),À¯Çâ(deg),¼ö¿Â(¡É),À¯ÀÇÆÄ°í(m),À¯ÀÇÆÄÁÖ±â(sec),ÃÖ´ëÆÄ°í(m),ÃÖ´ëÆÄÁÖ±â(sec),Ç³¼Ó(m/s),Ç³Çâ(16points),Ç³Çâ(deg),±â¿Â(¡É),±â¾Ð(hPa),½ÃÁ¤(m)
2024-06-01 0:00,16.4,µ¿³²µ¿,110,18.26,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:10,13.2,³²,186,18.24,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:20,10.6,³²³²¼­,206,18.22,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:30,24.4,µ¿³²µ¿,107,18.25,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:40,23.3,ºÏµ¿,42,18.18,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:50,25.1,ºÏµ¿,56,18.23,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:00,30.7,³²³²¼­,206,18.2,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:10,33.6,³²³²¼­,210,18.26,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:20,32.3,³²¼­,214,18.31,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:30,34.8,³²¼­,218,17.99,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:40,34.7,³²¼­,226,17.91,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:50,35.2,³²¼­,226,17.95,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:00,36.5,³²¼­,233,18.02,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:10,45.5,³²¼­,231,18.16,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:20,48.7,³²¼­,233,18.08,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:30,49.8,³²¼­,234,18.14,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:40,44.2,µ¿ºÏµ¿,62,18.04,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:50,54.9,³²¼­,235,18.13,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:00,56.9,³²¼­,228,18.12,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:10,52.9,³²¼­,229,18.13,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:20,44.1,³²¼­,234,18.14,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:30,41.1,³²¼­,236,18.08,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:40,41.5,³²¼­,234,18.03,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:50,43.1,µ¿ºÏµ¿,60,17.94,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:00,44.9,¼­³²¼­,237,18.01,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:10,49.9,³²¼­,235,18.12,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:20,46.3,µ¿ºÏµ¿,60,17.96,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:30,45.1,µ¿ºÏµ¿,63,17.99,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:40,44.2,µ¿ºÏµ¿,63,18.14,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:50,38.9,¼­³²¼­,239,18.18,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:00,29.5,³²¼­,235,18.1,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:10,23.6,³²¼­,235,18.2,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:20,18.8,³²¼­,231,18.23,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:30,17.6,³²¼­,233,18.25,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:40,19.7,³²¼­,233,18.23,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:50,17.4,³²¼­,231,18.3,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:00,12.6,³²¼­,215,18.34,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:10,2.8,³²³²¼­,212,18.33,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:20,5.4,ºÏºÏ¼­,340,18.24,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:30,7,ºÏµ¿,48,18.22,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:40,10.8,ºÏºÏ¼­,344,18.27,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:50,11.3,ºÏ,6,18.29,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:00,14.6,ºÏµ¿,52,18.32,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:10,18.5,ºÏµ¿,40,18.3,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:20,22.4,ºÏµ¿,37,18.29,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:30,25.6,ºÏºÏµ¿,33,18.23,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:40,27.3,ºÏµ¿,37,18.19,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:50,29.3,ºÏµ¿,43,18.2,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:00,30,ºÏµ¿,39,18.22,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:10,30.1,ºÏµ¿,43,18.21,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:20,31.1,ºÏµ¿,46,18.23,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:30,34.6,ºÏµ¿,44,18.26,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:40,33.3,ºÏµ¿,40,18.25,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:50,35.1,ºÏµ¿,43,18.23,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:00,31.2,ºÏµ¿,37,18.25,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:10,34.6,µ¿ºÏµ¿,63,18.29,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:20,32.7,ºÏµ¿,46,18.26,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:30,32.7,µ¿,85,18.24,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:40,30.4,ºÏµ¿,53,18.13,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:50,29.7,ºÏµ¿,49,18.06,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:00,28.5,ºÏµ¿,51,17.9,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:10,22,ºÏµ¿,47,17.87,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:20,22.2,ºÏµ¿,52,17.88,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:30,22,ºÏµ¿,51,17.98,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:40,16,ºÏµ¿,53,18,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:50,10.3,ºÏµ¿,38,17.68,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:00,16,ºÏµ¿,37,17.46,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:10,12.9,ºÏµ¿,47,17.83,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:20,10.9,µ¿ºÏµ¿,61,17.85,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:30,9.7,ºÏµ¿,55,17.77,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:40,7,µ¿,100,17.74,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:50,9.1,µ¿³²µ¿,104,17.68,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:00,9.6,µ¿ºÏµ¿,76,17.77,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:10,5.1,µ¿,92,17.75,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:20,11.5,µ¿,88,17.67,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:30,14,µ¿,100,17.65,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:40,13.5,³²,181,17.63,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:50,17.6,µ¿³²µ¿,105,17.73,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:00,18.1,µ¿³²µ¿,108,17.69,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:10,16,µ¿,94,17.69,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:20,19.3,µ¿³²µ¿,103,17.7,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:30,21.2,µ¿³²µ¿,104,17.78,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:40,12.2,µ¿,92,17.76,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:50,10.2,µ¿,84,17.97,-,-,-,-,-,-,-,-,-,-
