관측소명:인천,,,,,,,,,,,,,
위도:37.451944,,,,,,,,,,,,,
경도:126.592222,,,,,,,,,,,,,
관측시간,조위(cm),수온(℃),염분(PSU),유의파고(m),유의파주기(sec),최대파고(m),최대파주기(sec),풍속(m/s),풍향(16points),풍향(deg),기온(℃),기압(hPa),시정(m)
2024-06-01 0:00,655,18.8,29.1,-,-,-,-,4.1,남남서,207,17,1010,-
2024-06-01 0:01,654,18.7,29.1,-,-,-,-,3.9,남남서,202,17,1010,-
2024-06-01 0:02,653,18.8,29.1,-,-,-,-,4.1,남남서,212,17,1010,-
2024-06-01 0:03,652,18.8,29.1,-,-,-,-,3.3,남남서,210,17,1009.9,-
2024-06-01 0:04,651,18.8,29.1,-,-,-,-,3.4,남남서,213,17.1,1009.9,-
2024-06-01 0:05,650,18.8,29.1,-,-,-,-,3.2,남남서,208,17,1009.9,-
2024-06-01 0:06,649,18.7,29.1,-,-,-,-,3.5,남서,214,17,1009.9,-
2024-06-01 0:07,649,18.7,29.1,-,-,-,-,3.1,남남서,211,17,1009.8,-
2024-06-01 0:08,648,18.7,29.1,-,-,-,-,2.8,남서,219,17.1,1009.8,-
2024-06-01 0:09,647,18.8,29.1,-,-,-,-,2.5,남서,218,17,1009.8,-
2024-06-01 0:10,646,18.8,29.1,-,-,-,-,3.3,남남서,208,17,1009.8,-
2024-06-01 0:11,645,18.8,29.1,-,-,-,-,4.2,남서,218,17,1009.8,-
2024-06-01 0:12,644,18.7,29.1,-,-,-,-,4.3,남남서,212,17,1009.8,-
2024-06-01 0:13,643,18.7,29.1,-,-,-,-,3.4,남남서,205,17,1009.8,-
2024-06-01 0:14,643,18.7,29.1,-,-,-,-,3.8,남남서,208,17,1009.8,-
2024-06-01 0:15,642,18.7,29.1,-,-,-,-,3.1,남남서,204,17,1009.8,-
2024-06-01 0:16,641,18.7,29.1,-,-,-,-,3,남남서,213,17,1009.8,-
2024-06-01 0:17,639,18.7,29.2,-,-,-,-,4,남서,216,17,1009.8,-
2024-06-01 0:18,638,18.7,29.1,-,-,-,-,3.3,남남서,209,17,1009.7,-
2024-06-01 0:19,637,18.7,29.1,-,-,-,-,3.1,남남서,208,17,1009.8,-
2024-06-01 0:20,636,18.8,29.1,-,-,-,-,3.9,남남서,208,17,1009.8,-
2024-06-01 0:21,635,18.7,29.1,-,-,-,-,4.2,남서,215,17,1009.8,-
2024-06-01 0:22,634,18.7,29.1,-,-,-,-,4.2,남서,215,16.9,1009.8,-
2024-06-01 0:23,633,18.7,29.1,-,-,-,-,4,남남서,213,16.9,1009.8,-
2024-06-01 0:24,632,18.7,29.1,-,-,-,-,3.9,남남서,211,16.9,1009.8,-
2024-06-01 0:25,631,18.7,29.1,-,-,-,-,3.3,남남서,204,16.9,1009.7,-
2024-06-01 0:26,629,18.8,29.1,-,-,-,-,2.9,남남서,201,16.9,1009.7,-
2024-06-01 0:27,628,18.8,29.1,-,-,-,-,3,남남서,206,16.9,1009.7,-
2024-06-01 0:28,627,18.8,29.1,-,-,-,-,2.7,남남서,208,16.9,1009.7,-
2024-06-01 0:29,626,18.8,29.1,-,-,-,-,3,남남서,201,16.9,1009.7,-
2024-06-01 0:30,625,18.8,29.1,-,-,-,-,3,남남서,208,16.9,1009.7,-
2024-06-01 0:31,624,18.8,29.1,-,-,-,-,2.9,남남서,207,16.9,1009.6,-
2024-06-01 0:32,623,18.8,29.1,-,-,-,-,2.7,남남서,207,16.9,1009.6,-
2024-06-01 0:33,622,18.8,29.1,-,-,-,-,2.6,남남서,210,16.9,1009.6,-
2024-06-01 0:34,621,18.6,29.2,-,-,-,-,2.8,남남서,209,16.9,1009.6,-
2024-06-01 0:35,619,18.6,29.2,-,-,-,-,2.7,남남서,207,16.9,1009.6,-
2024-06-01 0:36,618,18.6,29.2,-,-,-,-,3.1,남남서,203,16.9,1009.6,-
2024-06-01 0:37,617,18.6,29.2,-,-,-,-,3.2,남남서,198,16.9,1009.6,-
2024-06-01 0:38,615,18.6,29.2,-,-,-,-,3.4,남남서,201,16.9,1009.6,-
2024-06-01 0:39,614,18.6,29.2,-,-,-,-,3.2,남남서,206,16.9,1009.6,-
2024-06-01 0:40,613,18.6,29.2,-,-,-,-,3.6,남남서,206,16.9,1009.6,-
2024-06-01 0:41,612,18.6,29.2,-,-,-,-,3.9,남남서,211,16.9,1009.6,-
2024-06-01 0:42,611,18.6,29.2,-,-,-,-,3.9,남서,215,16.9,1009.6,-
2024-06-01 0:43,610,18.6,29.2,-,-,-,-,3.9,남서,220,16.9,1009.6,-
2024-06-01 0:44,608,18.6,29.2,-,-,-,-,3.8,남서,219,16.9,1009.7,-
2024-06-01 0:45,607,18.6,29.2,-,-,-,-,3.4,남서,216,16.9,1009.7,-
2024-06-01 0:46,606,18.6,29.2,-,-,-,-,3.8,남서,227,16.9,1009.6,-
2024-06-01 0:47,605,18.6,29.2,-,-,-,-,3.9,남서,229,16.9,1009.6,-
2024-06-01 0:48,604,18.6,29.2,-,-,-,-,3.9,남서,224,16.9,1009.6,-
2024-06-01 0:49,602,18.6,29.2,-,-,-,-,4.2,남서,221,16.9,1009.7,-
2024-06-01 0:50,601,18.6,29.2,-,-,-,-,4.1,남서,220,16.9,1009.7,-
2024-06-01 0:51,600,18.6,29.2,-,-,-,-,3.5,남서,218,16.9,1009.7,-
2024-06-01 0:52,598,18.6,29.2,-,-,-,-,4.3,남서,226,16.9,1009.7,-
2024-06-01 0:53,597,18.6,29.2,-,-,-,-,4,남서,227,16.9,1009.7,-
2024-06-01 0:54,595,18.6,29.2,-,-,-,-,4.1,남서,230,16.9,1009.7,-
2024-06-01 0:55,594,18.6,29.2,-,-,-,-,3.8,남서,225,16.9,1009.7,-
2024-06-01 0:56,593,18.6,29.2,-,-,-,-,3.6,남서,222,16.9,1009.7,-
2024-06-01 0:57,591,18.6,29.2,-,-,-,-,4,남서,225,16.9,1009.6,-
2024-06-01 0:58,590,18.6,29.2,-,-,-,-,4.5,남서,224,16.9,1009.6,-
2024-06-01 0:59,588,18.6,29.2,-,-,-,-,4,남서,223,16.8,1009.6,-
2024-06-01 1:00,587,18.6,29.2,-,-,-,-,3.9,남서,222,16.8,1009.6,-
2024-06-01 1:01,585,18.6,29.2,-,-,-,-,4.3,남서,221,16.8,1009.6,-
2024-06-01 1:02,584,18.6,29.2,-,-,-,-,4,남서,217,16.8,1009.6,-
2024-06-01 1:03,582,18.6,29.2,-,-,-,-,3.9,남서,217,16.8,1009.7,-
2024-06-01 1:04,581,18.6,29.2,-,-,-,-,3.5,남서,214,16.8,1009.6,-
2024-06-01 1:05,579,18.6,29.2,-,-,-,-,3.3,남서,215,16.8,1009.6,-
2024-06-01 1:06,577,18.6,29.2,-,-,-,-,3.4,남남서,210,16.8,1009.6,-
2024-06-01 1:07,576,18.6,29.2,-,-,-,-,2.6,남남서,211,16.8,1009.6,-
2024-06-01 1:08,576,18.6,29.2,-,-,-,-,3.1,남남서,209,16.8,1009.6,-
2024-06-01 1:09,574,18.6,29.2,-,-,-,-,3.1,남남서,207,16.8,1009.6,-
2024-06-01 1:10,571,18.6,29.2,-,-,-,-,2.5,남남서,202,16.8,1009.5,-
2024-06-01 1:11,570,18.6,29.2,-,-,-,-,2.4,남남서,209,16.8,1009.5,-
2024-06-01 1:12,568,18.6,29.2,-,-,-,-,2,남남서,203,16.8,1009.5,-
2024-06-01 1:13,566,18.6,29.2,-,-,-,-,2.5,남남서,204,16.8,1009.5,-
2024-06-01 1:14,565,18.6,29.2,-,-,-,-,2,남남서,206,16.8,1009.5,-
2024-06-01 1:15,563,18.6,29.2,-,-,-,-,1.7,남,189,16.8,1009.5,-
2024-06-01 1:16,562,18.6,29.2,-,-,-,-,1.7,남남서,206,16.8,1009.5,-
2024-06-01 1:17,560,18.6,29.2,-,-,-,-,2.1,남남서,201,16.8,1009.4,-
2024-06-01 1:18,559,18.6,29.2,-,-,-,-,2.4,남남서,213,16.8,1009.4,-
2024-06-01 1:19,557,18.6,29.2,-,-,-,-,2.2,남서,216,16.8,1009.5,-
2024-06-01 1:20,555,18.6,29.2,-,-,-,-,2.1,남서,217,16.8,1009.5,-
