관측소명:태안항,,,,,,,,,,,,,,
위도:37.006722,,,,,,,,,,,,,,
경도:126.270222,,,,,,,,,,,,,,
관측시간,유속(cm/s),유향(16points),유향(deg),수온(℃),유의파고(m),유의파주기(sec),최대파고(m),최대파주기(sec),풍속(m/s),풍향(16points),풍향(deg),기온(℃),기압(hPa),시정(m)
2024-06-01 0:00,10.4,동북동,57,13.59,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:10,19.7,남남서,209,13.66,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:20,32.4,남서,229,13.81,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:30,25.9,서남서,250,13.87,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:40,27.9,서남서,247,13.91,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:50,24.5,남동,131,13.93,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:00,27.5,서남서,248,13.9,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:10,35.6,서남서,243,13.88,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:20,32.6,서남서,238,13.84,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:30,28.8,남서,235,13.88,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:40,39.8,남서,232,13.97,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:50,39.5,남서,232,14.06,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:00,51.4,남서,233,14.08,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:10,52,남서,229,14.15,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:20,54.7,남서,227,14.23,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:30,59.7,남서,230,14.24,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:40,64.7,남서,232,14.25,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:50,66,남서,229,14.21,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:00,57.8,남서,227,14.24,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:10,68,남서,232,14.26,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:20,59.4,남서,232,14.37,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:30,56.3,남서,231,14.34,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:40,50,남서,229,14.3,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:50,53.7,남서,230,14.39,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:00,48.2,남서,233,14.4,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:10,55.5,남서,230,14.4,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:20,46.1,남서,236,14.46,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:30,43,서남서,248,14.6,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:40,32.1,서남서,241,14.49,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:50,29.3,서남서,251,14.46,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:00,31,서,264,14.81,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:10,30.2,서,264,14.84,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:20,23.9,서,273,14.87,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:30,30.7,서,276,14.84,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:40,24.8,서,272,14.79,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:50,19.6,서북서,295,14.76,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:00,16,서북서,299,14.67,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:10,11.4,서남서,258,14.62,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:20,14.6,북서,317,14.69,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:30,17.8,동,92,14.71,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:40,9.7,동북동,77,14.69,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:50,6.9,남동,124,14.63,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:00,18.2,남동,132,14.67,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:10,17.3,동남동,120,14.68,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:20,17,북동,39,14.69,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:30,26.6,동남동,106,14.61,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:40,25.3,북동,56,14.66,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:50,28.4,동남동,105,14.72,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:00,31,동남동,107,14.71,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:10,39.2,동남동,103,14.53,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:20,46.9,동,100,14.35,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:30,47,동,99,14.3,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:40,44.1,북동,43,14.14,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:50,32.1,북동,48,14.05,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:00,47.5,북동,40,14,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:10,54.4,북동,45,13.93,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:20,42.7,동남동,103,13.95,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:30,28.7,동북동,61,13.92,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:40,24.5,동북동,74,13.91,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:50,34.1,북동,47,13.65,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:00,14.8,남동,124,13.91,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:10,24,남,177,13.85,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:20,12.8,남동,132,13.77,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:30,13.6,동,84,13.68,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:40,11.4,북동,35,13.6,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:50,10.5,북동,50,13.59,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:00,14.4,동,84,13.57,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:10,11.7,동,94,13.53,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:20,5.5,동,98,13.6,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:30,11.8,북북서,344,13.58,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:40,3.6,북북동,25,13.49,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:50,9,북북동,15,13.37,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:00,9.7,남서,217,13.4,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:10,12,남남서,210,13.6,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:20,19.7,서남서,252,13.6,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:30,17.8,서남서,255,13.47,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:40,15.9,서,281,13.53,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:50,27.2,남서,229,13.72,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:00,25.2,남동,139,14.21,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:10,32.6,남동,142,14.44,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:20,19.2,동남동,121,13.7,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:30,20.8,동남동,107,13.71,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:40,21.5,서남서,257,13.78,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:50,28.5,동남동,108,13.87,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:00,36.7,서남서,244,13.79,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:10,39.2,동남동,104,14.02,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:20,42.2,동남동,102,13.87,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:30,47,동남동,102,14.09,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:40,51.3,동,100,14.14,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:50,53.5,남서,233,14,-,-,-,-,-,-,-,-,-,-
2024-06-01 15:00,62.3,남서,232,13.99,-,-,-,-,-,-,-,-,-,-
2024-06-01 15:10,69.1,남서,234,14.66,-,-,-,-,-,-,-,-,-,-
2024-06-01 15:20,68.3,남서,227,14.81,-,-,-,-,-,-,-,-,-,-
2024-06-01 15:30,86.7,남서,235,14.3,-,-,-,-,-,-,-,-,-,-
2024-06-01 15:40,81.9,남서,232,14.56,-,-,-,-,-,-,-,-,-,-
2024-06-01 15:50,79.5,남서,229,14.71,-,-,-,-,-,-,-,-,-,-
2024-06-01 16:00,71.5,남서,229,14.53,-,-,-,-,-,-,-,-,-,-
2024-06-01 16:10,74.3,동,99,14.48,-,-,-,-,-,-,-,-,-,-
2024-06-01 16:20,65.8,남서,227,14.56,-,-,-,-,-,-,-,-,-,-
2024-06-01 16:30,62.7,동,97,14.53,-,-,-,-,-,-,-,-,-,-
2024-06-01 16:40,65.8,동,99,14.52,-,-,-,-,-,-,-,-,-,-
2024-06-01 16:50,62.6,동,98,14.83,-,-,-,-,-,-,-,-,-,-
2024-06-01 17:00,49.6,동,100,15.05,-,-,-,-,-,-,-,-,-,-
2024-06-01 17:10,43.9,동남동,103,15.12,-,-,-,-,-,-,-,-,-,-
2024-06-01 17:20,30.3,동,98,15.32,-,-,-,-,-,-,-,-,-,-
2024-06-01 17:30,33.8,동,97,15.36,-,-,-,-,-,-,-,-,-,-
