°üÃø¼Ò¸í:ÅÂ¾È,,,,,,,,,,,,,
À§µµ:36.9130555555556,,,,,,,,,,,,,
°æµµ:126.238888888889,,,,,,,,,,,,,
°üÃø½Ã°£,Á¶À§(cm),¼ö¿Â(¡É),¿°ºÐ(PSU),À¯ÀÇÆÄ°í(m),À¯ÀÇÆÄÁÖ±â(sec),ÃÖ´ëÆÄ°í(m),ÃÖ´ëÆÄÁÖ±â(sec),Ç³¼Ó(m/s),Ç³Çâ(16points),Ç³Çâ(deg),±â¿Â(¡É),±â¾Ð(hPa),½ÃÁ¤(m)
2024-06-01 0:00,522,-,-,-,-,-,-,1.1,¼­,278,15.7,1009.8,-
2024-06-01 0:01,521,-,-,-,-,-,-,0.5,¼­,271,15.7,1009.8,-
2024-06-01 0:02,521,-,-,-,-,-,-,0.8,¼­ºÏ¼­,282,15.7,1009.8,-
2024-06-01 0:03,520,-,-,-,-,-,-,1.5,¼­,277,15.8,1009.8,-
2024-06-01 0:04,519,-,-,-,-,-,-,1.5,¼­,269,15.7,1009.8,-
2024-06-01 0:05,518,-,-,-,-,-,-,1.6,¼­,275,15.7,1009.8,-
2024-06-01 0:06,517,-,-,-,-,-,-,1.9,¼­,276,15.8,1009.8,-
2024-06-01 0:07,516,-,-,-,-,-,-,2,¼­,277,15.8,1009.8,-
2024-06-01 0:08,515,-,-,-,-,-,-,2,¼­,275,15.8,1009.8,-
2024-06-01 0:09,514,-,-,-,-,-,-,2,¼­,275,15.8,1009.8,-
2024-06-01 0:10,513,-,-,-,-,-,-,2.3,¼­,275,15.8,1009.8,-
2024-06-01 0:11,512,-,-,-,-,-,-,2.1,¼­,273,15.8,1009.8,-
2024-06-01 0:12,510,-,-,-,-,-,-,2,¼­,269,15.8,1009.7,-
2024-06-01 0:13,509,-,-,-,-,-,-,1.5,¼­,272,15.8,1009.7,-
2024-06-01 0:14,509,-,-,-,-,-,-,0.9,¼­ºÏ¼­,286,15.7,1009.7,-
2024-06-01 0:15,507,-,-,-,-,-,-,0.3,¼­,276,15.8,1009.7,-
2024-06-01 0:16,507,-,-,-,-,-,-,0.7,¼­,268,15.8,1009.7,-
2024-06-01 0:17,506,-,-,-,-,-,-,2.2,¼­,277,15.7,1009.7,-
2024-06-01 0:18,505,-,-,-,-,-,-,2.1,¼­,274,15.8,1009.7,-
2024-06-01 0:19,503,-,-,-,-,-,-,2.7,¼­,277,15.8,1009.7,-
2024-06-01 0:20,502,-,-,-,-,-,-,2.3,¼­,278,15.8,1009.7,-
2024-06-01 0:21,501,-,-,-,-,-,-,2.1,¼­,279,15.8,1009.7,-
2024-06-01 0:22,500,-,-,-,-,-,-,1.4,¼­,278,15.8,1009.7,-
2024-06-01 0:23,500,-,-,-,-,-,-,2.1,¼­,277,15.7,1009.7,-
2024-06-01 0:24,498,-,-,-,-,-,-,1.7,¼­,272,15.7,1009.6,-
2024-06-01 0:25,497,-,-,-,-,-,-,1.7,¼­,272,15.7,1009.6,-
2024-06-01 0:26,496,-,-,-,-,-,-,2.2,¼­,279,15.7,1009.6,-
2024-06-01 0:27,495,-,-,-,-,-,-,1.8,¼­,272,15.7,1009.6,-
2024-06-01 0:28,494,-,-,-,-,-,-,2.2,¼­,272,15.7,1009.6,-
2024-06-01 0:29,493,-,-,-,-,-,-,1.9,¼­,277,15.6,1009.6,-
2024-06-01 0:30,491,-,-,-,-,-,-,0.9,¼­,277,15.6,1009.6,-
2024-06-01 0:31,489,-,-,-,-,-,-,1,¼­ºÏ¼­,283,15.6,1009.6,-
2024-06-01 0:32,488,-,-,-,-,-,-,0.6,¼­,271,15.6,1009.6,-
2024-06-01 0:33,487,-,-,-,-,-,-,1,¼­,277,15.6,1009.6,-
2024-06-01 0:34,486,-,-,-,-,-,-,0.7,¼­,277,15.6,1009.6,-
2024-06-01 0:35,485,-,-,-,-,-,-,1.3,¼­,277,15.6,1009.6,-
2024-06-01 0:36,484,-,-,-,-,-,-,1.5,¼­,275,15.6,1009.7,-
2024-06-01 0:37,483,-,-,-,-,-,-,1.2,¼­,279,15.6,1009.7,-
2024-06-01 0:38,482,-,-,-,-,-,-,1.4,¼­,280,15.6,1009.7,-
2024-06-01 0:39,481,-,-,-,-,-,-,0.6,¼­,269,15.6,1009.7,-
2024-06-01 0:40,480,-,-,-,-,-,-,0.8,¼­,279,15.6,1009.7,-
2024-06-01 0:41,479,-,-,-,-,-,-,1.1,¼­,271,15.6,1009.7,-
2024-06-01 0:42,478,-,-,-,-,-,-,1.6,¼­ºÏ¼­,283,15.7,1009.7,-
2024-06-01 0:43,476,-,-,-,-,-,-,2.2,¼­,277,15.6,1009.6,-
2024-06-01 0:44,475,-,-,-,-,-,-,2.4,¼­,274,15.7,1009.6,-
2024-06-01 0:45,473,-,-,-,-,-,-,2,¼­,272,15.7,1009.6,-
2024-06-01 0:46,473,-,-,-,-,-,-,1.9,¼­,276,15.6,1009.6,-
2024-06-01 0:47,471,-,-,-,-,-,-,2.2,¼­,275,15.7,1009.6,-
2024-06-01 0:48,470,-,-,-,-,-,-,2,¼­,273,15.7,1009.6,-
2024-06-01 0:49,469,-,-,-,-,-,-,1.6,¼­,277,15.7,1009.7,-
2024-06-01 0:50,467,-,-,-,-,-,-,2,¼­,276,15.7,1009.7,-
2024-06-01 0:51,467,-,-,-,-,-,-,2.1,¼­,278,15.7,1009.7,-
2024-06-01 0:52,464,-,-,-,-,-,-,1.8,¼­,275,15.6,1009.8,-
2024-06-01 0:53,463,-,-,-,-,-,-,1.5,¼­,275,15.6,1009.8,-
2024-06-01 0:54,461,-,-,-,-,-,-,2.3,¼­,279,15.6,1009.8,-
2024-06-01 0:55,459,-,-,-,-,-,-,2,¼­,272,15.6,1009.8,-
2024-06-01 0:56,458,-,-,-,-,-,-,2,¼­,271,15.5,1009.8,-
2024-06-01 0:57,457,-,-,-,-,-,-,2.4,¼­,277,15.4,1009.7,-
2024-06-01 0:58,456,-,-,-,-,-,-,2.7,¼­,272,15.4,1009.7,-
2024-06-01 0:59,454,-,-,-,-,-,-,2.7,¼­,270,15.4,1009.7,-
2024-06-01 1:00,453,-,-,-,-,-,-,2.5,¼­,274,15.4,1009.7,-
2024-06-01 1:01,451,-,-,-,-,-,-,2.4,¼­,273,15.4,1009.7,-
2024-06-01 1:02,450,-,-,-,-,-,-,2,¼­ºÏ¼­,282,15.4,1009.7,-
2024-06-01 1:03,448,-,-,-,-,-,-,2.1,¼­,273,15.3,1009.7,-
2024-06-01 1:04,447,-,-,-,-,-,-,1.7,¼­,276,15.3,1009.7,-
2024-06-01 1:05,446,-,-,-,-,-,-,3.2,¼­,275,15.3,1009.7,-
2024-06-01 1:06,444,-,-,-,-,-,-,1.9,¼­ºÏ¼­,283,15.2,1009.7,-
2024-06-01 1:07,443,-,-,-,-,-,-,0.6,¼­,267,15.1,1009.7,-
2024-06-01 1:08,442,-,-,-,-,-,-,1.4,¼­,276,15.1,1009.7,-
2024-06-01 1:09,441,-,-,-,-,-,-,1.7,¼­,280,15.1,1009.7,-
2024-06-01 1:10,439,-,-,-,-,-,-,1.5,¼­,280,15,1009.7,-
2024-06-01 1:11,438,-,-,-,-,-,-,1.4,¼­ºÏ¼­,282,15,1009.6,-
2024-06-01 1:12,437,-,-,-,-,-,-,1.8,¼­,278,15,1009.6,-
2024-06-01 1:13,435,-,-,-,-,-,-,1.8,¼­,280,14.9,1009.6,-
2024-06-01 1:14,434,-,-,-,-,-,-,1.3,¼­,280,14.9,1009.6,-
2024-06-01 1:15,432,-,-,-,-,-,-,1.9,¼­ºÏ¼­,282,14.8,1009.6,-
2024-06-01 1:16,431,-,-,-,-,-,-,2.1,¼­,277,14.8,1009.6,-
2024-06-01 1:17,430,-,-,-,-,-,-,1.7,¼­,271,14.7,1009.6,-
2024-06-01 1:18,429,-,-,-,-,-,-,1.5,¼­,281,14.7,1009.6,-
2024-06-01 1:19,427,-,-,-,-,-,-,1.2,¼­,275,14.6,1009.6,-
2024-06-01 1:20,426,-,-,-,-,-,-,0.6,¼­ºÏ¼­,288,14.6,1009.6,-
2024-06-01 1:21,425,-,-,-,-,-,-,1.8,¼­,281,14.6,1009.6,-
2024-06-01 1:22,423,-,-,-,-,-,-,1.6,¼­,274,14.6,1009.7,-
2024-06-01 1:23,422,-,-,-,-,-,-,1.7,¼­,278,14.6,1009.7,-
2024-06-01 1:24,421,-,-,-,-,-,-,2.2,¼­,275,14.6,1009.7,-
2024-06-01 1:25,419,-,-,-,-,-,-,2.2,¼­,281,14.5,1009.7,-
2024-06-01 1:26,419,-,-,-,-,-,-,2.7,¼­ºÏ¼­,282,14.5,1009.7,-
2024-06-01 1:27,417,-,-,-,-,-,-,2.2,¼­,272,14.5,1009.7,-
2024-06-01 1:28,414,-,-,-,-,-,-,2.5,¼­,278,14.5,1009.7,-
2024-06-01 1:29,413,-,-,-,-,-,-,2.4,¼­,276,14.4,1009.7,-
2024-06-01 1:30,410,-,-,-,-,-,-,1.8,¼­,278,14.5,1009.7,-
