°üÃø¼Ò¸í:Åë¿µÇ×,,,,,,,,,,,,,,
À§µµ:34.773333,,,,,,,,,,,,,,
°æµµ:128.46,,,,,,,,,,,,,,
°üÃø½Ã°£,À¯¼Ó(cm/s),À¯Çâ(16points),À¯Çâ(deg),¼ö¿Â(¡É),À¯ÀÇÆÄ°í(m),À¯ÀÇÆÄÁÖ±â(sec),ÃÖ´ëÆÄ°í(m),ÃÖ´ëÆÄÁÖ±â(sec),Ç³¼Ó(m/s),Ç³Çâ(16points),Ç³Çâ(deg),±â¿Â(¡É),±â¾Ð(hPa),½ÃÁ¤(m)
2024-06-01 0:00,3.6,ºÏ,3,18.49,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:10,4.2,ºÏºÏ¼­,344,18.65,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:20,1.7,ºÏµ¿,54,18.49,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:30,0.5,¼­³²¼­,241,18.56,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:40,0.4,³²¼­,219,18.55,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:50,1.6,ºÏµ¿,53,18.65,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:00,4.8,¼­ºÏ¼­,283,19.06,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:10,2.6,¼­,277,19.15,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:20,4.2,¼­ºÏ¼­,285,18.84,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:30,0.2,µ¿³²µ¿,108,18.95,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:40,0.9,¼­,274,19.1,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:50,2.4,ºÏºÏµ¿,15,19.3,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:00,3,¼­,273,19.32,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:10,6.8,¼­,266,19.49,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:20,3,ºÏ¼­,319,19.48,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:30,1.1,ºÏ¼­,318,19.28,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:40,3.8,ºÏ¼­,309,19.15,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:50,0.7,¼­ºÏ¼­,297,18.73,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:00,2.8,µ¿³²µ¿,108,18.48,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:10,2.5,³²µ¿,145,19.26,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:20,1.8,³²µ¿,125,19.02,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:30,2.5,³²,169,18.98,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:40,1.6,³²,169,19.62,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:50,3.2,³²,191,19.12,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:00,0.8,³²³²¼­,195,19.23,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:10,1.7,³²µ¿,145,18.95,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:20,2.4,³²µ¿,127,18.77,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:30,2.3,³²µ¿,141,19.24,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:40,2.8,µ¿³²µ¿,122,19.44,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:50,1.9,³²,180,19.51,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:00,6,³²µ¿,132,18.91,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:10,6.3,µ¿³²µ¿,122,19.58,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:20,6.8,µ¿³²µ¿,120,18.89,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:30,6,³²³²µ¿,152,18.68,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:40,7.8,³²µ¿,145,18.45,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:50,6.1,³²µ¿,142,18.59,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:00,4.7,³²µ¿,139,18.57,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:10,4.4,³²µ¿,139,18.45,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:20,6.5,³²µ¿,141,18.26,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:30,6.3,³²µ¿,143,18.33,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:40,5,³²µ¿,130,18.55,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:50,6.6,³²µ¿,133,18.33,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:00,6.6,³²µ¿,136,18.23,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:10,4.8,³²µ¿,133,18.57,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:20,4.6,³²,172,18.66,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:30,3,³²³²µ¿,166,18.62,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:40,4.9,³²³²¼­,202,18.57,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:50,3.2,³²¼­,232,18.61,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:00,3.2,³²³²¼­,199,18.53,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:10,3.6,³²¼­,231,18.52,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:20,5.5,³²¼­,232,18.51,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:30,1.2,¼­,262,18.48,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:40,6.2,¼­,270,18.45,-,-,-,-,-,-,-,-,-,-
2024-06-01 8:50,7.6,¼­,264,18.43,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:00,7.7,¼­³²¼­,247,18.74,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:10,9,ºÏºÏµ¿,25,19.13,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:20,7.1,ºÏ,358,18.88,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:30,6.5,ºÏºÏµ¿,16,18.68,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:40,5.9,ºÏ,8,18.71,-,-,-,-,-,-,-,-,-,-
2024-06-01 9:50,3.6,ºÏµ¿,46,18.63,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:00,4.5,ºÏºÏµ¿,14,18.69,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:10,6,ºÏºÏµ¿,16,18.63,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:20,6.8,ºÏ,4,18.7,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:30,7.2,ºÏ,353,18.51,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:40,5.3,ºÏ,5,18.5,-,-,-,-,-,-,-,-,-,-
2024-06-01 10:50,6.5,ºÏºÏ¼­,343,18.48,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:00,4.6,ºÏºÏ¼­,345,18.54,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:10,4.9,ºÏºÏ¼­,336,18.59,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:20,1.6,¼­,265,18.68,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:30,4.9,ºÏ¼­,318,18.55,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:40,5,ºÏ¼­,318,18.67,-,-,-,-,-,-,-,-,-,-
2024-06-01 11:50,3.6,ºÏ¼­,318,18.38,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:00,7.3,ºÏ¼­,316,18.36,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:10,8.7,ºÏ¼­,306,18.46,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:20,7.3,ºÏºÏ¼­,328,18.47,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:30,6.4,¼­ºÏ¼­,301,18.74,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:40,9.8,¼­ºÏ¼­,287,18.84,-,-,-,-,-,-,-,-,-,-
2024-06-01 12:50,8.6,ºÏ¼­,306,18.77,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:00,8.9,ºÏ¼­,309,18.79,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:10,8.6,ºÏ¼­,317,18.84,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:20,9.9,ºÏ¼­,317,18.95,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:30,9,ºÏºÏ¼­,327,18.92,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:40,9.3,ºÏ¼­,319,18.97,-,-,-,-,-,-,-,-,-,-
2024-06-01 13:50,9.5,ºÏ¼­,318,19.02,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:00,3.9,¼­ºÏ¼­,292,19.15,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:10,5.4,ºÏ¼­,307,19.08,-,-,-,-,-,-,-,-,-,-
2024-06-01 14:20,4.2,ºÏºÏ¼­,336,19.19,-,-,-,-,-,-,-,-,-,-
