°üÃø¼Ò¸í:°í·¡ºÒÇØ¼ö¿åÀå,,,,,,,,,,,,,,,
À§µµ:36.58,,,,,,,,,,,,,,,
°æµµ:129.454083,,,,,,,,,,,,,,,
°üÃø½Ã°£,À¯¼Ó(cm/s),À¯Çâ(16points),À¯Çâ(deg),¼ö¿Â(¡É),À¯ÀÇÆÄ°í(m),À¯ÀÇÆÄÁÖ±â(sec),ÃÖ´ëÆÄ°í(m),ÃÖ´ëÆÄÁÖ±â(sec),Ç³¼Ó(m/s),Ç³Çâ(16points),Ç³Çâ(deg),±â¿Â(¡É),±â¾Ð(hPa),½ÃÁ¤(m),ÆÄÇâ(deg)
2024-06-01 0:00,3.3,ºÏ,359,17.64,0.31,5.5,0.44,6,1.9,ºÏ,5,18.2,1009,-,47
2024-06-01 0:05,4.2,ºÏºÏµ¿,27,17.51,0.3,5.5,0.51,6,3.1,¼­³²¼­,240,18.1,1008.8,-,60
2024-06-01 0:10,3.6,ºÏºÏµ¿,20,17.55,0.32,5.5,0.5,4,5.1,¼­³²¼­,243,18.3,1008.6,-,28
2024-06-01 0:15,6.3,ºÏ,2,17.45,0.31,4.8,0.47,5,4.9,¼­³²¼­,244,18.7,1008.5,-,0
2024-06-01 0:20,5.7,ºÏºÏµ¿,30,17.47,0.31,4.8,0.43,5.5,4.1,¼­³²¼­,251,19,1008.5,-,43
2024-06-01 0:25,4.1,ºÏºÏµ¿,25,17.64,0.28,5,0.43,5.5,4.7,¼­³²¼­,252,19,1008.5,-,24
2024-06-01 0:30,9.3,ºÏµ¿,39,17.74,0.32,6.2,0.42,7,4,¼­,259,18.7,1008.4,-,54
2024-06-01 0:35,9.5,ºÏµ¿,36,17.83,0.28,5.9,0.42,6.5,4.1,¼­³²¼­,254,18.6,1008.3,-,45
2024-06-01 0:40,6.8,ºÏºÏµ¿,20,17.89,0.32,5.6,0.43,6,5.2,¼­³²¼­,254,18.7,1008.2,-,68
2024-06-01 0:45,8.8,ºÏºÏµ¿,29,17.87,0.32,5.2,0.4,4,4.8,¼­³²¼­,250,18.9,1008.2,-,44
2024-06-01 0:50,9.7,ºÏºÏµ¿,13,17.85,0.28,5.2,0.38,5,3.6,¼­³²¼­,255,18.9,1008.3,-,32
2024-06-01 0:55,8.8,ºÏºÏµ¿,17,17.78,0.3,5.6,0.45,6,4.4,¼­,260,19.2,1008.3,-,41
