包螟家疙:饶器,,,,,,,,,,,,,
困档:36.6775,,,,,,,,,,,,,
版档:129.453056,,,,,,,,,,,,,
包螟矫埃,炼困(cm),荐柯(∩),堪盒(PSU),蜡狼颇绊(m),蜡狼颇林扁(sec),弥措颇绊(m),弥措颇林扁(sec),浅加(m/s),浅氢(16points),浅氢(deg),扁柯(∩),扁拘(hPa),矫沥(m)
2024-06-01 0:00,24,17.3,33.8,-,-,-,-,0,合,0,17.5,1008.3,-
2024-06-01 0:01,24,17.3,33.8,-,-,-,-,0,合,0,17.5,1008.2,-
2024-06-01 0:02,23,17.3,33.8,-,-,-,-,0.3,合悼,35,17.5,1008.2,-
2024-06-01 0:03,22,17.3,33.8,-,-,-,-,0.4,合合辑,329,17.5,1008.2,-
2024-06-01 0:04,21,17.3,33.8,-,-,-,-,0.8,辑,275,17.4,1008.2,-
2024-06-01 0:05,20,17.3,33.8,-,-,-,-,1.1,辑,260,17.5,1008.2,-
2024-06-01 0:06,19,17.3,33.8,-,-,-,-,0.7,辑巢辑,256,17.5,1008.2,-
2024-06-01 0:07,19,17.3,33.8,-,-,-,-,0.6,辑,279,17.5,1008.1,-
2024-06-01 0:08,19,17.3,33.8,-,-,-,-,0.5,合辑,320,17.5,1008.1,-
2024-06-01 0:09,20,17.3,33.8,-,-,-,-,0.7,合,1,17.5,1008.1,-
2024-06-01 0:10,21,17.3,33.8,-,-,-,-,0.8,合合悼,14,17.5,1008,-
2024-06-01 0:11,22,17.3,33.8,-,-,-,-,0.7,合悼,34,17.5,1008,-
2024-06-01 0:12,23,17.3,33.8,-,-,-,-,0.8,合悼,48,17.5,1008,-
2024-06-01 0:13,23,17.3,33.8,-,-,-,-,1,合合悼,21,17.5,1007.9,-
2024-06-01 0:14,23,17.3,33.8,-,-,-,-,1.2,合,355,17.5,1007.9,-
2024-06-01 0:15,23,17.3,33.8,-,-,-,-,1.5,合合辑,347,17.5,1007.9,-
2024-06-01 0:16,23,17.3,33.8,-,-,-,-,1.8,合合辑,339,17.5,1007.9,-
2024-06-01 0:17,23,17.3,33.8,-,-,-,-,1.8,合合辑,337,17.6,1007.9,-
2024-06-01 0:18,24,17.3,33.8,-,-,-,-,1.5,合合辑,329,17.7,1008,-
2024-06-01 0:19,25,17.3,33.8,-,-,-,-,1.1,合合辑,343,17.8,1008,-
2024-06-01 0:20,25,17.2,33.8,-,-,-,-,0.6,合,353,17.8,1008,-
2024-06-01 0:21,24,17.3,33.8,-,-,-,-,0.1,巢巢辑,192,17.7,1008,-
2024-06-01 0:22,23,17.3,33.8,-,-,-,-,1,巢辑,217,17.7,1008,-
2024-06-01 0:23,22,17.3,33.8,-,-,-,-,1.4,辑巢辑,237,17.7,1008,-
2024-06-01 0:24,21,17.3,33.8,-,-,-,-,1.1,辑,260,17.7,1008,-
2024-06-01 0:25,21,17.3,33.8,-,-,-,-,0.7,辑,266,17.7,1008,-
2024-06-01 0:26,20,17.3,33.8,-,-,-,-,0,辑,267,17.6,1008,-
2024-06-01 0:27,20,17.3,33.8,-,-,-,-,0,悼,93,17.5,1008,-
2024-06-01 0:28,20,17.3,33.8,-,-,-,-,0.4,悼,84,17.5,1007.9,-
2024-06-01 0:29,20,17.3,33.8,-,-,-,-,0.7,悼合悼,77,17.5,1007.9,-
2024-06-01 0:30,21,17.3,33.8,-,-,-,-,0.9,悼合悼,78,17.5,1007.8,-
2024-06-01 0:31,22,17.3,33.8,-,-,-,-,1.2,悼合悼,64,17.6,1007.8,-
2024-06-01 0:32,23,17.3,33.8,-,-,-,-,1.5,合合悼,20,17.6,1007.8,-
2024-06-01 0:33,24,17.3,33.8,-,-,-,-,1.3,合合悼,14,17.6,1007.8,-
2024-06-01 0:34,24,17.3,33.8,-,-,-,-,0.8,合,0,17.6,1007.8,-
2024-06-01 0:35,23,17.3,33.8,-,-,-,-,1.5,辑合辑,297,17.6,1007.8,-
2024-06-01 0:36,21,17.2,33.8,-,-,-,-,1.9,辑,260,17.6,1007.8,-
2024-06-01 0:37,19,17.2,33.8,-,-,-,-,1.9,辑巢辑,257,17.7,1007.8,-
2024-06-01 0:38,17,17.3,33.8,-,-,-,-,1.7,辑合辑,283,17.8,1007.8,-
2024-06-01 0:39,16,17.3,33.8,-,-,-,-,1.7,辑,281,17.8,1007.8,-
2024-06-01 0:40,17,17.3,33.8,-,-,-,-,1.7,辑合辑,284,17.8,1007.8,-
2024-06-01 0:41,19,17.3,33.8,-,-,-,-,1.5,辑合辑,282,17.8,1007.8,-
2024-06-01 0:42,21,17.3,33.8,-,-,-,-,1,合辑,308,18.1,1007.8,-
2024-06-01 0:43,23,17.2,33.8,-,-,-,-,1.1,合,4,18.3,1007.8,-
2024-06-01 0:44,25,17.2,33.8,-,-,-,-,0.9,合合悼,24,18.4,1007.7,-
2024-06-01 0:45,25,17.2,33.8,-,-,-,-,1,合悼,38,18.4,1007.7,-
2024-06-01 0:46,23,17.2,33.8,-,-,-,-,1,合悼,43,18.5,1007.7,-
2024-06-01 0:47,21,17.3,33.8,-,-,-,-,0.6,合合悼,33,18.3,1007.7,-
2024-06-01 0:48,19,17.3,33.8,-,-,-,-,0.7,巢巢悼,159,18.3,1007.8,-
2024-06-01 0:49,18,17.3,33.8,-,-,-,-,1.8,巢辑,223,18.3,1007.8,-
2024-06-01 0:50,18,17.3,33.8,-,-,-,-,1.2,辑巢辑,251,18,1007.8,-
2024-06-01 0:51,19,17.3,33.8,-,-,-,-,0.5,辑,273,17.9,1007.8,-
2024-06-01 0:52,21,17.3,33.8,-,-,-,-,0.6,辑,270,17.9,1007.8,-
2024-06-01 0:53,23,17.3,33.8,-,-,-,-,0.7,辑,274,17.9,1007.8,-
2024-06-01 0:54,25,17.3,33.8,-,-,-,-,0.6,辑合辑,294,17.9,1007.8,-
2024-06-01 0:55,25,17.3,33.8,-,-,-,-,0.3,合合辑,337,18,1007.8,-
2024-06-01 0:56,24,17.3,33.8,-,-,-,-,0.8,合,350,18,1007.8,-
2024-06-01 0:57,21,17.3,33.8,-,-,-,-,1.2,合合辑,332,18,1007.8,-
2024-06-01 0:58,19,17.3,33.8,-,-,-,-,1.1,合辑,323,18.1,1007.8,-
2024-06-01 0:59,18,17.3,33.8,-,-,-,-,0.6,合合辑,335,18.1,1007.8,-
2024-06-01 1:00,17,17.3,33.8,-,-,-,-,0.9,合,1,18.1,1007.8,-
2024-06-01 1:01,18,17.3,33.8,-,-,-,-,0.9,合,10,18.1,1007.8,-
2024-06-01 1:02,20,17.3,33.8,-,-,-,-,0.4,合合辑,339,18.1,1007.7,-
2024-06-01 1:03,22,17.3,33.8,-,-,-,-,0.4,辑合辑,284,18.1,1007.8,-
2024-06-01 1:04,24,17.3,33.8,-,-,-,-,0.4,合合辑,341,18.1,1007.8,-
2024-06-01 1:05,24,17.3,33.8,-,-,-,-,1.1,合合辑,347,18.1,1007.8,-
2024-06-01 1:06,23,17.3,33.8,-,-,-,-,0.7,合合辑,343,18.1,1007.8,-
2024-06-01 1:07,22,17.3,33.8,-,-,-,-,0.4,合合辑,333,18.2,1007.8,-
2024-06-01 1:08,20,17.3,33.8,-,-,-,-,0,合辑,320,18.1,1007.8,-
2024-06-01 1:09,19,17.3,33.8,-,-,-,-,0.4,巢巢辑,211,18.1,1007.8,-
2024-06-01 1:10,18,17.2,33.8,-,-,-,-,0.8,巢,190,18.2,1007.8,-
2024-06-01 1:11,17,17.2,33.8,-,-,-,-,0.7,巢,189,18.2,1007.7,-
2024-06-01 1:12,18,17.2,33.8,-,-,-,-,0.7,巢巢辑,192,18.2,1007.7,-
2024-06-01 1:13,18,17.2,33.8,-,-,-,-,0.5,巢巢辑,206,18.2,1007.7,-
2024-06-01 1:14,19,17.3,33.8,-,-,-,-,0.5,巢辑,221,18.2,1007.7,-
2024-06-01 1:15,20,17.3,33.8,-,-,-,-,0.3,辑巢辑,256,18.3,1007.7,-
2024-06-01 1:16,20,17.3,33.8,-,-,-,-,0.2,辑,271,18.3,1007.6,-
2024-06-01 1:17,20,17.3,33.8,-,-,-,-,0.6,巢辑,236,18.4,1007.6,-
2024-06-01 1:18,20,17.3,33.8,-,-,-,-,1,辑巢辑,252,18.5,1007.6,-
2024-06-01 1:19,20,17.3,33.8,-,-,-,-,0.7,合辑,308,18.6,1007.6,-
2024-06-01 1:20,20,17.3,33.8,-,-,-,-,0.9,合,4,18.5,1007.6,-
2024-06-01 1:21,20,17.3,33.8,-,-,-,-,1.3,合悼,45,18.5,1007.6,-
2024-06-01 1:22,20,17.3,33.8,-,-,-,-,1.1,悼合悼,72,18.4,1007.5,-
2024-06-01 1:23,20,17.3,33.8,-,-,-,-,1.2,悼巢悼,102,18.3,1007.5,-
2024-06-01 1:24,20,17.3,33.8,-,-,-,-,1,悼巢悼,109,18.3,1007.5,-
2024-06-01 1:25,20,17.3,33.8,-,-,-,-,0.7,悼巢悼,122,18.3,1007.6,-
2024-06-01 1:26,19,17.3,33.8,-,-,-,-,0.2,悼巢悼,119,18.3,1007.6,-
2024-06-01 1:27,19,17.3,33.8,-,-,-,-,0.6,巢悼,138,18.2,1007.6,-
2024-06-01 1:28,19,17.3,33.8,-,-,-,-,0.9,悼巢悼,111,18.2,1007.6,-
2024-06-01 1:29,19,17.3,33.8,-,-,-,-,0.9,合悼,55,18.2,1007.6,-
2024-06-01 1:30,19,17.3,33.8,-,-,-,-,1.4,合合悼,20,18.2,1007.7,-
2024-06-01 1:31,18,17.3,33.8,-,-,-,-,1,合,359,18.2,1007.7,-
2024-06-01 1:32,18,17.3,33.8,-,-,-,-,0.3,合悼,41,18.2,1007.7,-
2024-06-01 1:33,17,17.3,33.8,-,-,-,-,0.6,合悼,53,18.3,1007.7,-
2024-06-01 1:34,17,17.3,33.8,-,-,-,-,1,合,8,18.4,1007.7,-
2024-06-01 1:35,17,17.3,33.8,-,-,-,-,1.3,合,354,18.5,1007.7,-
2024-06-01 1:36,18,17.3,33.8,-,-,-,-,0.5,合,358,18.4,1007.7,-
2024-06-01 1:37,19,17.3,33.8,-,-,-,-,0.2,悼合悼,65,18.4,1007.7,-
2024-06-01 1:38,19,17.3,33.8,-,-,-,-,0.7,悼合悼,58,18.4,1007.7,-
2024-06-01 1:39,19,17.3,33.8,-,-,-,-,0.9,合,1,18.4,1007.8,-
2024-06-01 1:40,18,17.3,33.8,-,-,-,-,1.1,合,359,18.4,1007.8,-
2024-06-01 1:41,17,17.3,33.8,-,-,-,-,1.4,合,4,18.3,1007.8,-
2024-06-01 1:42,17,17.3,33.8,-,-,-,-,1.5,合,357,18.3,1007.8,-
2024-06-01 1:43,17,17.3,33.8,-,-,-,-,1.4,合合辑,346,18.4,1007.8,-
2024-06-01 1:44,17,17.3,33.8,-,-,-,-,1.3,合合辑,348,18.4,1007.8,-
2024-06-01 1:45,18,17.3,33.8,-,-,-,-,1.8,合,0,18.4,1007.8,-
2024-06-01 1:46,19,17.3,33.8,-,-,-,-,1.9,合,10,18.4,1007.8,-
