°üÃø¼Ò¸í:¿©¼öÇ×,,,,,,,,,,,,,,
À§µµ:34.794722,,,,,,,,,,,,,,
°æµµ:127.808055,,,,,,,,,,,,,,
°üÃø½Ã°£,À¯¼Ó(cm/s),À¯Çâ(16points),À¯Çâ(deg),¼ö¿Â(¡É),À¯ÀÇÆÄ°í(m),À¯ÀÇÆÄÁÖ±â(sec),ÃÖ´ëÆÄ°í(m),ÃÖ´ëÆÄÁÖ±â(sec),Ç³¼Ó(m/s),Ç³Çâ(16points),Ç³Çâ(deg),±â¿Â(¡É),±â¾Ð(hPa),½ÃÁ¤(m)
2024-06-01 0:00,9.2,ºÏ¼­,326,19.76,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:10,8,ºÏºÏ¼­,337,19.73,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:20,13.4,ºÏ,359,19.73,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:30,8.4,ºÏ,349,19.82,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:40,15.3,ºÏ,351,19.84,-,-,-,-,-,-,-,-,-,-
2024-06-01 0:50,13.3,ºÏ,357,19.7,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:00,13.6,ºÏ,7,19.71,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:10,16.6,ºÏºÏµ¿,31,19.68,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:20,13.7,ºÏ,11,19.64,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:30,14.5,ºÏºÏµ¿,30,19.6,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:40,20.1,ºÏºÏµ¿,21,19.42,-,-,-,-,-,-,-,-,-,-
2024-06-01 1:50,17.5,ºÏºÏµ¿,17,19.52,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:00,9.3,ºÏ,1,19.66,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:20,9,ºÏºÏµ¿,22,19.47,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:30,16.1,ºÏºÏµ¿,14,19.25,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:40,11.2,ºÏµ¿,46,19.37,-,-,-,-,-,-,-,-,-,-
2024-06-01 2:50,8.1,ºÏ,360,19.46,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:00,6,ºÏºÏµ¿,16,19.5,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:10,2.8,µ¿,90,19.56,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:20,3.3,³²µ¿,134,19.58,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:30,3.6,¼­ºÏ¼­,299,19.47,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:40,1.2,³²³²¼­,207,19.43,-,-,-,-,-,-,-,-,-,-
2024-06-01 3:50,2.1,µ¿³²µ¿,120,19.48,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:00,4.1,µ¿³²µ¿,122,19.47,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:10,8.2,³²³²µ¿,157,19.46,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:20,9,³²µ¿,146,19.47,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:30,6.2,³²,179,19.48,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:40,13.7,³²³²µ¿,167,19.49,-,-,-,-,-,-,-,-,-,-
2024-06-01 4:50,16.4,³²³²µ¿,168,19.55,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:00,16.9,³²,179,19.59,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:10,16.3,³²,177,19.62,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:20,15.1,³²,185,19.63,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:30,16.1,³²,169,19.63,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:40,15.9,³²,180,19.6,-,-,-,-,-,-,-,-,-,-
2024-06-01 5:50,12,³²,182,19.58,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:00,12.6,³²,183,19.58,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:10,19.3,³²,186,19.61,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:20,17.7,³²,187,19.63,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:30,16.7,³²,187,19.62,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:40,16.7,³²,191,19.64,-,-,-,-,-,-,-,-,-,-
2024-06-01 6:50,20,¼­ºÏ¼­,284,19.66,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:00,23.4,³²,181,19.66,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:10,24.5,³²,184,19.66,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:20,29.2,³²,185,19.67,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:30,24.6,³²,182,19.69,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:40,24,³²,187,19.7,-,-,-,-,-,-,-,-,-,-
2024-06-01 7:50,24.7,³²,182,19.69,-,-,-,-,-,-,-,-,-,-
