°üÃø¼Ò¸í:¿©¼ö,,,,,,,,,,,,,
À§µµ:34.747222,,,,,,,,,,,,,
°æµµ:127.765556,,,,,,,,,,,,,
°üÃø½Ã°£,Á¶À§(cm),¼ö¿Â(¡É),¿°ºÐ(PSU),À¯ÀÇÆÄ°í(m),À¯ÀÇÆÄÁÖ±â(sec),ÃÖ´ëÆÄ°í(m),ÃÖ´ëÆÄÁÖ±â(sec),Ç³¼Ó(m/s),Ç³Çâ(16points),Ç³Çâ(deg),±â¿Â(¡É),±â¾Ð(hPa),½ÃÁ¤(m)
2024-06-01 0:00,163,20.7,32.2,-,-,-,-,6.8,¼­,271,21.2,1009.4,-
2024-06-01 0:01,164,20.7,32.2,-,-,-,-,6.9,¼­,260,21.2,1009.3,-
2024-06-01 0:02,165,20.7,32.2,-,-,-,-,7.1,¼­,262,21.2,1009.3,-
2024-06-01 0:03,166,20.7,32.2,-,-,-,-,6.9,¼­,264,21.1,1009.3,-
2024-06-01 0:04,167,20.7,32.2,-,-,-,-,8,¼­,264,21.1,1009.2,-
2024-06-01 0:05,168,20.7,32.2,-,-,-,-,7,¼­,271,21.1,1009.3,-
2024-06-01 0:06,168,20.7,32.2,-,-,-,-,6.7,¼­,271,21.1,1009.4,-
2024-06-01 0:07,169,20.7,32.2,-,-,-,-,7.7,¼­,272,21,1009.2,-
2024-06-01 0:08,170,20.7,32.2,-,-,-,-,6.9,¼­,267,21,1009.2,-
2024-06-01 0:09,170,20.7,32.2,-,-,-,-,6.7,¼­,271,21.1,1009.3,-
2024-06-01 0:10,171,20.7,32.2,-,-,-,-,6.8,¼­,269,21.1,1009.3,-
2024-06-01 0:11,172,20.7,32.2,-,-,-,-,6.2,¼­,269,21.1,1009.3,-
2024-06-01 0:12,172,20.7,32.2,-,-,-,-,6.9,¼­,271,21,1009.2,-
2024-06-01 0:13,173,20.7,32.2,-,-,-,-,7.1,¼­,273,21,1009.2,-
2024-06-01 0:14,174,20.7,32.2,-,-,-,-,8.2,¼­,274,21,1009.2,-
2024-06-01 0:15,175,20.7,32.2,-,-,-,-,7.3,¼­,271,21,1009.2,-
